"Buurten";"Registraties diefstal per 1.000 inwoners|2020";"Registraties geweld per 1.000 inwoners|2020";"Registraties inbraak per 1.000 woningen|2020"
"Achtse Barrier-Gunterslaer";10,2;2,1;6,3
"Achtse Barrier-Hoeven";5,3;2,5;8,0
"Achtse Barrier-Spaaihoef";3,8;0,9;5,3
"Barrier";7,0;2,8;2,2
"BeA2";".";".";"."
"Beemden";".";".";"."
"Bennekel-Oost";8,2;7,1;5,5
"Bennekel-West, Gagelbosch";6,2;5,6;4,7
"Bergen";26,4;5,9;5,0
"Binnenstad";199,5;64,5;6,8
"Blaarthem";13,1;10,6;8,7
"Blixembosch-Oost";4,7;2,1;8,3
"Blixembosch-West";1,9;1,0;6,5
"Bloemenplein";14,1;9,1;6,3
"Bokt";".";".";"."
"Bosrijk";7,1;4,7;6,3
"Burghplan";11,4;14,7;6,7
"CastiliÃ«laan";".";".";"."
"Doornakkers-Oost";6,5;5,2;9,7
"Doornakkers-West";8,3;6,0;8,1
"Drents Dorp";5,0;2,5;8,7
"Driehoeksbos";25,8;10,3;7,4
"Eckart";7,0;5,6;7,8
"Eckartdal";".";".";"."
"Eikenburg";17,1;7,9;7,7
"Eindhoven Airport";".";".";"."
"Eliasterrein, Vonderkwartier";15,8;2,5;7,8
"Elzent-Noord";35,4;14,0;7,0
"Elzent-Zuid";19,9;0,0;39,7
"Engelsbergen";14,2;7,9;7,1
"Esp";".";".";"."
"Fellenoord";".";".";"."
"Flight Forum";".";".";"."
"Genderbeemd";6,9;4,7;10,3
"Genderdal";10,1;10,5;11,4
"Generalenbuurt";14,2;4,8;5,3
"Gennep";".";".";"."
"Genneperzijde";18,4;1,5;1,3
"Gerardusplein";9,2;2,1;2,1
"Gijzenrooi";6,6;1,1;8,2
"Gildebuurt";16,7;11,9;11,7
"Grasrijk";5,1;2,1;1,8
"Hagenkamp";14,4;6,8;7,8
"Hanevoet";6,5;5,2;10,8
"Heesterakker";4,1;1,9;2,8
"Hemelrijken";24,3;14,0;3,8
"Herdgang";".";".";"."
"Het Ven";8,6;4,8;5,8
"Hondsheuvels";".";".";"."
"Hurk";".";".";"."
"Irisbuurt";12,4;4,3;5,6
"Jagershoef";8,8;7,1;8,0
"Joriskwartier";6,2;3,9;7,7
"Kapelbeemd";".";".";"."
"Karpen";74,7;11,0;4,7
"Kerkdorp Acht";4,5;0,8;4,1
"Kerstroosplein";12,6;8,2;7,8
"Koudenhoven";5,8;7,8;4,5
"Kronehoef";14,1;7,2;8,1
"Kruidenbuurt";4,6;3,9;1,5
"Lakerlopen";17,3;7,3;7,5
"Leenderheide";".";".";"."
"Lievendaal";9,2;5,7;5,0
"Limbeek-Noord";24,0;9,7;10,9
"Limbeek-Zuid";10,7;5,7;6,4
"Looiakkers";19,3;5,3;6,0
"Luytelaer";12,7;0,0;7,0
"Meerbos";".";".";"."
"Meerrijk";".";".";"."
"Mensfort";8,4;8,4;3,2
"Mispelhoef";".";".";"."
"Muschberg, Geestenberg";6,3;5,0;7,9
"Nieuwe Erven";30,0;13,6;8,9
"Ooievaarsnest";2,2;2,2;11,0
"Oude Gracht-Oost";13,5;0,7;5,3
"Oude Gracht-West";10,5;2,4;5,2
"Oude Spoorbaan";23,5;4,3;8,2
"Oude Toren";16,0;4,9;12,0
"Park Forum";".";".";"."
"Philipsdorp";15,8;4,8;5,8
"Poeijers";".";".";"."
"Prinsejagt";6,5;3,6;5,9
"Puttense Dreef";6,4;1,6;3,9
"Rapelenburg";20,3;1,8;6,7
"Rapenland";16,9;12,2;9,3
"Riel";".";".";"."
"Rochusbuurt";12,9;3,4;7,4
"Roosten";9,6;2,8;31,4
"Schoot";18,8;3,4;8,0
"Schouwbroek";12,4;2,6;6,4
"Schrijversbuurt";14,2;6,4;9,6
"Schuttersbosch";14,6;0,0;16,4
"Sintenbuurt";7,1;4,9;10,2
"Sportpark Aalsterweg";".";".";"."
"Strijp S";".";".";"."
"'t Hofke";5,4;5,2;5,4
"'t Hool";8,9;8,0;12,6
"Tempel";6,1;5,7;6,0
"Tivoli";1,4;8,3;10,6
"Tongelresche Akkers";6,9;2,8;7,4
"Tuindorp";5,8;2,0;5,6
"TU-terrein";".";".";"."
"Urkhoven";".";".";"."
"Vaartbroek";6,5;5,2;8,0
"Villapark";25,7;1,8;17,1
"Vlokhoven";8,5;6,5;7,1
"Vredeoord";".";".";"."
"Waterrijk";5,4;0,9;3,7
"Wielewaal";".";".";"."
"Winkelcentrum";157,8;19,7;31,6
"Witte Dame";51,8;31,0;6,7
"Woenselse Heide";8,0;5,0;6,8
"Woenselse Watermolen";5,9;0,7;16,9
"Woensel-West";14,7;7,7;6,0
"Zandrijk";0,7;2,7;3,5
"Zwaanstraat";".";".";"."
